nickname,fingerprint,is_guard,is_exit,country,region_name,city_name,latitude,longitude,as,advertised_bandwidth,guard_probability,middle_probability,exit_probability
lisdex,000004ACBB9D29BCBA17256BB35928DDBFC8ABA9,False,False,unknown,unknown,unknown,0.0,0.0,unknown,58000,0.000000000000000,0.000504286960843,0.000000000000000
SharingIsCaring,0000775396823734F953D22C238F0FE85DB6F390,False,False,unknown,unknown,unknown,0.0,0.0,unknown,260,0.000000000000000,0.000002260596721,0.000000000000000
seele,000A10D43011EA4928A35F610405F92B4433B4DC,False,False,unknown,unknown,unknown,0.0,0.0,unknown,220,0.000000000000000,0.000001912812610,0.000000000000000
hubbabubbaABC,000D11C0BF30C48FD81644ED2AA3D3733A5149D1,True,False,unknown,unknown,unknown,0.0,0.0,unknown,19000,0.000196450348984,0.000165197452690,0.000000000000000
SENDNOOSEplz,000F3EB75342BE371F1D8D3FAE90890AEB5664EE,False,True,unknown,unknown,unknown,0.0,0.0,unknown,17000,0.000000000000000,0.000000000000000,0.000214001202385
titamon3,0011254CC8444369B20EF11156B8990438221A54,False,True,unknown,unknown,unknown,0.0,0.0,unknown,20000,0.000000000000000,0.000000000000000,0.000251766120453
skylarkRelay,00240ECB2B535AA4C1E1874D744DFA6AF2E5E941,True,False,unknown,unknown,unknown,0.0,0.0,unknown,13000,0.000134413396673,0.000113029836051,0.000000000000000
9g4net3,0024E93D8366B4169981EA5A07A9B7AC319E08C2,False,False,unknown,unknown,unknown,0.0,0.0,unknown,7900,0.000000000000000,0.000068687361908,0.000000000000000
Quetzalcoatl,00251F9F626F0E741030AF54CE019B115D01697D,False,True,unknown,unknown,unknown,0.0,0.0,unknown,8100,0.000000000000000,0.000000000000000,0.000101965278783
StarAppsMobley,00283B5564E3072DCDDAB31D6EF622DD49BF524F,True,False,unknown,unknown,unknown,0.0,0.0,unknown,61000,0.000630709015158,0.000530370769163,0.000000000000000
ernies,0028C91CFBA3601F32F90EF9643BEF5ED031A658,False,False,unknown,unknown,unknown,0.0,0.0,unknown,13000,0.000000000000000,0.000113029836051,0.000000000000000
ForPrivacyNET,0036FA36AB435FD5D0F640626636867EBFB72C68,False,True,unknown,unknown,unknown,0.0,0.0,unknown,45000,0.000000000000000,0.000000000000000,0.000566473771018
relayon0170,003A08F1ADC002D24979C68AA5A33369C04D9C7F,False,True,unknown,unknown,unknown,0.0,0.0,unknown,92000,0.000000000000000,0.000000000000000,0.001158124154082
chali2na,0040E1791755D340BA8109F4C1849666582CF56C,True,False,unknown,unknown,unknown,0.0,0.0,unknown,6400,0.000066172749131,0.000055645457748,0.000000000000000
Quetzalcoatl,004A25BF22D034283EF44DFB2471B72FABB1C700,False,True,unknown,unknown,unknown,0.0,0.0,unknown,2600,0.000000000000000,0.000000000000000,0.000032729595659
NTH22R5,004F9A0513C84E72054CEB555DB51EEEF319546D,False,True,unknown,unknown,unknown,0.0,0.0,unknown,15000,0.000000000000000,0.000000000000000,0.000188824590339
ITSCTheLordMyLight,0050875D8D60D3C0EDC54E61DCA5FCE8BA900289,True,False,unknown,unknown,unknown,0.0,0.0,unknown,4500,0.000046527714233,0.000039125712479,0.000000000000000
